key,sha,message,filename
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/bucket_map_join_tez1.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/bucket_map_join_tez2.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/dynamic_partition_pruning.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/explainuser_2.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/mrr.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/llap/vectorized_dynamic_partition_pruning.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/auto_sortmerge_join_10.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/auto_sortmerge_join_12.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/bucket_map_join_tez1.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/bucket_map_join_tez2.q.out
