file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java,150,34,1,0,0,1,0,0,0,189.0,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloIndexParameters.java,112,0,1,0,0,1,0,0,0,327.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/package-info.java,22,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestPrimitiveComparisonFilter.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestDoubleCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloDefaultIndexScanner.java,218,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestIntCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestLongComparison.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestStringCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloStorageHandler.java,8,1,2,0,0,2,0,7547493.0,0,258.0,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableInputFormat.java,27,10,1,0,0,1,0,0,0,189.0,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/DelimitedAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableOutputFormat.java,13,16,1,0,0,1,0,0,0,189.0,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTypes.java,1,1,1,0,0,1,0,0,0,375.0,375
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/FirstCharAccumuloCompositeRowId.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDe.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloRangeGenerator.java,181,20,1,0,0,1,0,0,0,327.0,327
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDeParameters.java,0,0,0,0,0,0,0,0,0,0,0
