Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,TestMapredParquetInputFormat.java,6.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,6.0,18.0,11.0,4.0,13.0,7.0,10.0,8.0,2.0,1.0,1.0,1.0,1.0,0.0,0.72,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.5,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapredParquetOutputFormat.java,14.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,1.0,4.0,94.0,14.0,67.0,32.0,34.0,13.0,37.0,44.0,27.0,23.0,2.0,2.0,2.0,2.0,0.0,0.19,6.0,6.0,6.0,5.0,0.0,1.4,5.0,1.0,3.4,6.0,1.0,1.2,2.0,0.0,0.2,1.0
File,TestMarkPartition.java,35.0,3.0,30.0,2.0,4.0,4.0,4.0,1.0,1.0,15.0,0.5,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,118.0,14.0,84.0,37.0,51.0,20.0,53.0,59.0,31.0,33.0,7.0,7.0,7.0,1.5,0.0,0.24,8.0,8.0,8.0,2.0,1.0,3.0,5.0,3.0,11.333333333333334,26.0,1.0,9.666666666666666,27.0,0.0,0.3333333333333333,1.0
File,TestMarkPartitionRemote.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,4.0,13.0,9.0,2.0,17.0,7.0,9.0,7.0,2.0,1.0,1.0,1.0,2.0,0.0,1.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMergeStatement.java,11.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,0.0,1.0,1.0,1.0,20.0,19.0,2.0,20.0,1.0,0.0,0.0,19.0,256.0,10.0,213.0,88.0,133.0,35.0,53.0,74.0,53.0,39.0,1.0,1.0,1.0,1.0,85.0,0.16,20.0,20.0,20.0,20.0,0.0,1.55,20.0,1.0,2.3,3.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreAuthorization.java,23.0,2.0,22.0,0.0,3.0,3.0,3.0,1.0,1.0,14.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,112.0,15.0,80.0,30.0,54.0,17.0,55.0,66.0,30.0,46.0,6.0,6.0,6.0,2.0,50.0,0.21,8.0,8.0,8.0,3.0,1.0,3.3333333333333335,7.0,3.0,10.0,17.0,1.0,11.333333333333334,32.0,0.0,1.0,2.0
File,TestMetaStoreConnectionUrlHook.java,13.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,5.0,20.0,14.0,7.0,24.0,13.0,15.0,11.0,6.0,1.0,1.0,1.0,1.0,0.0,1.2,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreEndFunctionListener.java,48.0,3.0,42.0,4.0,3.0,3.0,3.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,146.0,12.0,106.0,34.0,73.0,28.0,74.0,81.0,30.0,55.0,5.0,5.0,5.0,1.0,0.0,0.26,6.0,6.0,6.0,2.0,4.0,4.5,5.0,11.0,16.5,22.0,1.0,8.5,16.0,0.0,0.5,1.0
File,TestMetaStoreEventListener.java,18.0,2.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,30.333333333333332,0.0,1.0,0.0,5.0,20.0,20.0,2.0,20.0,0.0,14.0,0.0,6.0,471.0,77.0,364.0,159.0,249.0,30.0,278.0,300.0,136.0,217.0,2.0,2.0,2.0,1.0,26.666666666666668,0.08,21.0,21.0,21.0,20.0,3.0,4.777777777777778,10.0,1.0,9.37037037037037,95.0,1.0,1.037037037037037,2.0,0.0,0.037037037037037035,1.0
File,TestMetaStoreEventListenerOnlyOnCommit.java,34.0,5.0,29.0,0.0,1.0,1.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,121.0,19.0,82.0,36.0,51.0,20.0,58.0,61.0,31.0,32.0,1.0,1.0,1.0,1.0,0.0,0.24,2.0,2.0,2.0,2.0,4.0,5.5,7.0,14.0,17.5,21.0,1.0,1.0,1.0,0.0,0.0,0.0
